date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:01	296/296	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Dec%202021%2006:24:01%20GMT	http://localhost/robots.txt		(from )
11:54:07	234372/234372	---MC-	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:24:01%20GMT	http://localhost/wordpress/	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/index.html	(from )
11:54:08	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2016%20Dec%202021%2006:24:07%20GMT	http://localhost/wordpress/xmlrpc.php	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/xmlrpc.0.delayed	(from http://localhost/wordpress/)
11:54:08	140593/140593	---M--	200	added ('OK')	text/css	etag:%2222531-5cfdb1f1a3937%22	http://localhost/wordpress/wp-content/themes/rehub-theme/style.css?ver=16.9.4	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/themes/rehub-theme/style9c60.css	(from http://localhost/wordpress/)
11:54:10	1674/1674	---M--	200	added ('OK')	text/css	etag:%2268a-5cfdb1efbc3ab%22	http://localhost/wordpress/wp-content/themes/rehub-theme/css/slidingpanel.css?ver=1.0	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/themes/rehub-theme/css/slidingpanel5152.css	(from http://localhost/wordpress/)
11:54:10	857/857	---M--	200	added ('OK')	application/rss+xml	etag:%220ca0402f1c5872158fab51b2c9f320d7%22	http://localhost/wordpress/feed/	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
11:54:10	3365/3365	---M--	200	added ('OK')	text/css	etag:%22d25-5cfdb1efb17fb%22	http://localhost/wordpress/wp-content/themes/rehub-theme/css/dynamiccomparison.css?ver=1.3	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/themes/rehub-theme/css/dynamiccomparison4e44.css	(from http://localhost/wordpress/)
11:54:10	80574/80574	---M--	200	added ('OK')	text/css	etag:%2213abe-5cae72efad580%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-includes/css/dist/block-library/style.min080f.css	(from http://localhost/wordpress/)
11:54:12	5305/5305	---M--	200	added ('OK')	text/css	etag:%2214b9-5cfd0ef8dd2f0%22	http://localhost/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=5.9.1	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style74e5.css	(from http://localhost/wordpress/)
11:54:12	198045/198045	---M--	200	added ('OK')	text/css	etag:%223059d-5cfd0ef8dcb25%22	http://localhost/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=5.9.1	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style74e5.css	(from http://localhost/wordpress/)
11:54:14	3523/3523	---M--	200	added ('OK')	application/rss+xml	etag:%22109b69a8afe4e1e0f01c4b83edae0a03%22	http://localhost/wordpress/comments/feed/	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
11:54:14	12133/12133	---M--	200	added ('OK')	text/css	etag:%222f65-5d0981c31e93b%22	http://localhost/wordpress/wp-content/plugins/advanced-woo-search/assets/css/common.css?ver=2.40	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/plugins/advanced-woo-search/assets/css/common459f.css	(from http://localhost/wordpress/)
11:54:14	18900/18900	---M--	200	added ('OK')	text/css	etag:%2249d4-5cfd18a436d70%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min05c8.css	(from http://localhost/wordpress/)
11:54:16	131479/131479	---M--	200	added ('OK')	text/css	etag:%2220197-5cfd18a3fd605%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.4.7	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.mina7da.css	(from http://localhost/wordpress/)
11:54:17	44246/44246	---M--	200	added ('OK')	image/jpeg	etag:%22acd6-5d04684c87cab%22	http://localhost/wordpress/wp-content/uploads/2021/11/IMG_20211108_182444.jpg	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/uploads/2021/11/IMG_20211108_182444.jpg	(from http://localhost/wordpress/)
11:54:17	946/946	---M--	200	added ('OK')	text/css	etag:%223b2-5cfd2a0e2760e%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-6.css?ver=1635878432	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/uploads/elementor/css/post-699ab.css	(from http://localhost/wordpress/)
11:54:17	254177/254177	---M--	200	added ('OK')	text/css	etag:%223e0e1-5cfd18c53eba7%22	http://localhost/wordpress/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.4.2	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/plugins/elementor-pro/assets/css/frontend.minccfb.css	(from http://localhost/wordpress/)
11:54:19	9581/9581	---M--	200	added ('OK')	text/css	etag:%22256d-5d097d1096901%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-1016.css?ver=1636725349	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/uploads/elementor/css/post-10161bae.css	(from http://localhost/wordpress/)
11:54:19	14259/14259	---M--	200	added ('OK')	text/css	etag:%2237b3-5cfdb1efb17fb%22	http://localhost/wordpress/wp-content/themes/rehub-theme/css/eggrehub.css?ver=16.9.4	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/themes/rehub-theme/css/eggrehub9c60.css	(from http://localhost/wordpress/)
11:54:20	9256/9256	---M--	200	added ('OK')	text/css	etag:%222428-5cfdb1effe4e4%22	http://localhost/wordpress/wp-content/themes/rehub-theme/iconstyle.css?ver=16.9.4	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/themes/rehub-theme/iconstyle9c60.css	(from http://localhost/wordpress/)
11:54:20	3653/3653	---M--	200	added ('OK')	text/css	etag:%22e45-5cfdb1efaf908%22	http://localhost/wordpress/wp-content/themes/rehub-theme/css/ajaxsearch.css?ver=16.9.4	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/themes/rehub-theme/css/ajaxsearch9c60.css	(from http://localhost/wordpress/)
11:54:20	40082/40082	---M--	200	added ('OK')	text/css	etag:%229c92-5cfdb1efc16b2%22	http://localhost/wordpress/wp-content/themes/rehub-theme/css/woocommerce.css?ver=16.9.4	C:/Users/Happy/Desktop/New%20folder/compare/localhost/wordpress/wp-content/themes/rehub-theme/css/woocommerce9c60.css	(from http://localhost/wordpress/)
